employee_id,employee_name,gender,age,department,role,joining_date,tenure_years,performance_score,salary,bonus,training_hours,attrition_status,manager_id
EMP-10024,Nancy Flores,Female,48,Sales,Account Executive,2011-10-10,13.2,0.42,78824.17,4224.98,43,False,EMP-10678
EMP-10025,Betty Taylor,Female,62,Operations,Administrative Assistant,2011-12-13,13.1,0.45,39848.66,2231.52,60,False,EMP-12817
EMP-10026,Barbara Davis,Female,43,IT,IT Manager,2014-01-12,11.0,0.52,119444.72,21261.16,67,False,EMP-10153
EMP-10027,David Clark,Male,49,Sales,Senior Sales Executive,2018-07-01,6.5,0.7,78659.39,9439.13,110,False,EMP-10189
EMP-10028,Elizabeth Garcia,Female,40,IT,DevOps Engineer,2017-04-07,7.7,0.18,57621.44,1982.18,51,False,EMP-10975
EMP-10029,Michael Wright,Male,52,Operations,Operations Analyst,2018-04-01,6.8,0.27,64956.23,2702.18,66,False,EMP-12099
EMP-10030,Deborah Young,Female,32,Operations,Operations Associate,2016-07-30,8.4,0.47,50237.61,2893.69,82,False,EMP-10450
EMP-10031,Susan Nguyen,Female,37,Sales,Senior Account Executive,2018-01-22,6.9,0.66,87094.37,10102.95,89,False,EMP-10713
EMP-10032,David Moore,Male,50,Operations,Operations Analyst,2013-03-29,11.8,0.58,55371.49,3676.67,69,False,EMP-13931
EMP-10033,Edward Anderson,Male,42,Sales,Sales Executive,2013-05-23,11.6,0.64,63574.95,4526.54,62,False,EMP-10645
EMP-10034,John Lewis,Male,60,HR,Recruiter,2020-09-30,4.3,0.66,48098.45,3501.57,92,False,EMP-14295
EMP-10035,Mary Flores,Female,62,Sales,Sales Associate,2019-07-19,5.5,0.58,51016.54,3387.5,55,False,EMP-13965
EMP-10036,Elizabeth Jackson,Female,42,Sales,Sales Executive,2012-01-15,13.0,0.63,84299.98,5934.72,73,False,EMP-14430
EMP-10037,Edward Jones,Male,56,Finance,Finance Manager,2015-02-05,9.9,0.38,116969.63,18364.23,89,False,EMP-12335
EMP-10038,Sandra Lee,Female,43,Sales,Business Development Executive,2012-01-14,13.0,0.42,72686.5,3896.0,51,False,EMP-12194
EMP-10039,Kimberly Flores,Female,39,IT,Software Engineer,2013-05-18,11.6,0.19,78443.62,2761.22,41,False,EMP-10333
EMP-10040,Betty Wilson,Female,43,Sales,Sales Executive,2013-02-03,11.9,0.62,58035.11,4039.24,77,False,EMP-10855
EMP-10041,Timothy Smith,Male,47,HR,Senior Recruiter,2015-09-24,9.3,0.6,87497.11,9624.68,50,True,EMP-14145
EMP-10042,Ashley White,Female,52,Sales,Business Development Executive,2015-10-23,9.2,0.78,67258.97,5542.14,108,False,EMP-11267
EMP-10043,Anthony King,Male,53,HR,HR Business Partner,2015-01-27,9.9,0.66,60590.41,4410.98,86,False,EMP-11124
EMP-10044,Emily Robinson,Female,47,Sales,Junior Sales Executive,2010-10-12,14.2,0.61,60089.98,4134.19,93,False,EMP-10145
EMP-10045,Jeffrey Lewis,Male,49,IT,Senior Data Engineer,2011-09-24,13.3,0.51,98576.27,9956.2,64,False,EMP-10106
EMP-10046,Mary Young,Female,43,IT,QA Engineer,2014-06-01,10.6,0.53,81522.28,5086.99,97,False,EMP-13726
EMP-10047,Joshua Martinez,Male,41,Sales,Account Executive,2013-04-15,11.7,0.55,72375.39,4632.02,66,False,EMP-10864
EMP-10048,Amanda Martinez,Female,57,Operations,Operations Analyst,2011-12-07,13.1,0.68,58950.51,4385.92,91,False,EMP-14548
EMP-10049,Dorothy Nguyen,Female,42,IT,Junior Software Engineer,2014-07-18,10.5,0.37,59431.18,2947.79,65,True,EMP-14857
EMP-10050,Robert Thomas,Male,49,Marketing,Content Manager,2010-12-13,14.1,0.4,53457.97,2779.81,40,False,EMP-10117
EMP-10051,Kevin Davis,Male,38,Sales,Senior Account Executive,2012-06-25,12.5,0.78,95551.48,12230.59,101,False,EMP-10311
EMP-10052,Dorothy Robinson,Female,32,Sales,Senior Account Executive,2015-10-05,9.2,0.73,98060.71,12061.47,71,False,EMP-12052
EMP-10053,Donna Williams,Female,39,HR,HR Director,2013-09-29,11.3,0.47,140034.01,23875.8,97,False,EMP-13299
EMP-10054,Anthony Flores,Male,58,Marketing,Marketing Coordinator,2012-06-02,12.6,0.51,54158.12,3292.81,78,False,EMP-12656
EMP-10055,David Taylor,Male,46,Sales,Business Development Executive,2016-04-04,8.7,0.55,64601.56,4134.5,93,False,EMP-13962
EMP-10056,Sarah Hill,Female,57,Operations,Operations Analyst,2010-12-30,14.0,0.67,50477.11,3715.12,74,False,EMP-10599
EMP-10057,Cynthia King,Female,39,Finance,Senior Accountant,2014-02-16,10.9,0.65,86902.57,9993.8,106,False,EMP-12949
EMP-10058,Carol Robinson,Female,34,Sales,Junior Sales Executive,2017-09-26,7.3,0.19,55607.53,1957.39,50,False,EMP-13398
EMP-10059,George Lewis,Male,40,Sales,Chief Sales Officer,2013-07-07,11.5,0.64,273792.11,84875.55,55,False,
EMP-10060,Jessica Martinez,Female,35,Operations,Senior Operations Analyst,2012-06-13,12.6,0.81,91878.46,12036.08,89,False,EMP-10001
EMP-10061,Cynthia Martinez,Female,29,Sales,Junior Sales Executive,2014-04-17,10.7,0.33,53539.39,2484.23,83,False,EMP-10639
EMP-10062,Sandra Jones,Female,28,HR,Senior HR Business Partner,2017-02-08,7.9,0.39,83275.64,7411.53,98,True,EMP-10983
EMP-10063,George Flores,Male,36,IT,Chief Technology Officer,2013-12-28,11.0,0.89,259340.42,96604.31,76,False,
EMP-10064,Amanda Martinez,Female,40,Finance,Accountant,2013-03-02,11.8,0.76,73172.08,5912.3,110,False,EMP-11305
EMP-10065,Amanda Allen,Female,51,IT,Senior Data Engineer,2014-04-02,10.7,0.75,105060.53,13132.57,82,False,EMP-10965
EMP-10066,Margaret Smith,Female,62,Marketing,Marketing Coordinator,2014-12-01,10.1,0.59,39538.04,2656.96,105,False,EMP-14320
EMP-10067,David Scott,Male,48,IT,DevOps Manager,2017-01-17,8.0,0.36,120635.79,18577.91,46,False,EMP-14787
EMP-10068,Thomas Clark,Male,54,Finance,Junior Analyst,2012-10-14,12.2,0.44,52118.59,2876.95,46,False,EMP-10141
EMP-10069,Amanda Scott,Female,64,Operations,Logistics Coordinator,2017-10-01,7.2,0.24,49689.62,1947.83,35,False,EMP-14260
EMP-10070,Laura Clark,Female,47,Marketing,Content Writer,2011-12-04,13.1,0.76,46836.8,3784.41,69,False,EMP-14128
EMP-10071,Kenneth Scott,Male,55,HR,Talent Acquisition Manager,2013-06-08,11.6,0.66,90282.18,17966.15,83,False,EMP-11051
EMP-10072,Jacob Nguyen,Male,51,HR,Recruitment Coordinator,2013-03-15,11.8,0.58,37982.55,2522.04,86,False,EMP-13358
EMP-10073,Michelle Anderson,Female,42,Sales,Senior Sales Executive,2013-06-25,11.5,0.7,91597.99,10991.76,89,False,EMP-12083
EMP-10074,Donna Jackson,Female,48,Operations,Process Coordinator,2012-05-08,12.6,0.68,68346.58,5084.99,78,False,EMP-11670
EMP-10075,Paul Walker,Male,39,IT,QA Engineer,2011-01-05,14.0,0.33,65415.97,3035.3,66,False,EMP-10067
EMP-10076,Carol Walker,Female,48,Operations,Supply Chain Manager,2022-03-04,2.8,0.59,108733.15,20496.2,116,False,EMP-11268
EMP-10077,Matthew Johnson,Male,36,Marketing,Marketing Director,2014-07-22,10.4,0.86,144296.73,33043.95,65,True,EMP-13951
EMP-10078,William Young,Male,36,HR,HR Coordinator,2014-01-25,10.9,0.74,47430.96,3756.53,111,False,EMP-13764
EMP-10079,Deborah Hill,Female,39,Operations,Senior Process Manager,2014-05-10,10.6,0.55,66443.99,6976.62,67,False,EMP-10949
EMP-10080,Paul Hernandez,Male,55,IT,Engineering Director,2011-10-16,13.2,0.79,180953.92,39538.43,95,False,EMP-11919
EMP-10081,Sharon Thomas,Female,44,HR,Senior HR Business Partner,2012-12-11,12.1,0.61,92722.16,10292.16,62,False,EMP-12803
EMP-10082,Carol Jackson,Female,52,Sales,Sales Executive,2011-04-30,13.7,0.78,65426.23,5391.12,61,False,EMP-13203
EMP-10083,Michelle Wright,Female,42,Operations,Logistics Coordinator,2012-12-02,12.1,0.64,57083.67,4064.36,76,False,EMP-13161
EMP-10084,Emily Ramirez,Female,39,HR,HR Business Partner,2016-01-14,9.0,0.62,54972.27,3826.07,56,False,EMP-10320
EMP-10085,Thomas Nguyen,Male,41,Sales,Business Development Executive,2011-07-13,13.5,0.35,60846.89,2920.65,90,False,EMP-12684
EMP-10086,Richard Lopez,Male,49,IT,Senior DevOps Engineer,2016-04-09,8.7,0.7,99652.91,11958.35,60,False,EMP-11364
EMP-10087,Betty Flores,Female,50,Operations,Supply Chain Manager,2014-10-15,10.2,0.55,112152.15,20467.77,87,True,EMP-14210
EMP-10088,Mark Thompson,Male,26,Sales,Business Development Executive,2015-02-06,9.9,0.53,63526.41,3964.05,85,False,EMP-10166
EMP-10089,Cynthia Flores,Female,51,IT,QA Engineer,2011-04-03,13.7,0.22,83671.63,3146.05,69,False,EMP-13476
EMP-10090,Brian Jones,Male,49,HR,Recruitment Coordinator,2011-11-16,13.1,0.32,51571.53,2351.66,84,False,EMP-13334
EMP-10091,Sandra White,Female,43,IT,Software Engineer,2013-06-29,11.5,0.46,68822.82,3909.14,69,False,EMP-10101
EMP-10092,Brian Sanchez,Male,52,Sales,Senior Account Executive,2014-05-22,10.6,0.66,75301.69,8735.0,98,False,EMP-10667
EMP-10093,Donna Lopez,Female,49,Finance,Accounting Manager,2011-09-12,13.3,0.7,112355.03,23032.78,79,True,EMP-11108
EMP-10094,James Thompson,Male,36,IT,DevOps Engineer,2011-10-31,13.2,0.34,69938.83,3301.11,62,False,EMP-10017
EMP-10095,Dorothy Thomas,Female,46,Sales,Sales Executive,2013-01-06,12.0,0.57,60588.98,3974.64,97,False,EMP-14264
EMP-10096,John Miller,Male,31,Finance,Senior Financial Analyst,2016-12-17,8.0,0.54,76246.6,7929.65,83,False,EMP-13624
EMP-10097,Nancy Flores,Female,39,Operations,VP of Operations,2014-08-23,10.4,0.78,242569.99,83686.65,63,False,EMP-14206
EMP-10098,Brian Scott,Male,41,Operations,Process Coordinator,2013-02-19,11.9,0.39,61826.66,3165.52,48,False,EMP-12379
EMP-10099,Jason Smith,Male,42,IT,Junior Software Engineer,2011-12-13,13.1,0.82,60948.07,5217.15,73,False,EMP-11189
EMP-10100,Jeffrey Gonzalez,Male,39,Finance,Junior Analyst,2012-12-17,12.0,0.4,43751.14,2275.06,93,True,EMP-10407
EMP-10101,Barbara Smith,Female,36,IT,Senior Data Engineer,2014-09-20,10.3,0.63,113533.24,12829.26,94,False,EMP-10728
EMP-10102,Linda Lopez,Female,42,Sales,Sales Associate,2012-04-08,12.7,0.46,52384.88,2975.46,54,False,EMP-12869
EMP-10103,Barbara Clark,Female,42,Sales,Junior Sales Executive,2015-07-31,9.4,0.46,58251.99,3308.71,97,True,EMP-13881
EMP-10104,Amanda Jones,Female,51,Operations,Operations Associate,2011-07-22,13.4,0.53,51596.13,3219.6,79,False,EMP-11907
EMP-10105,Joshua Harris,Male,37,Marketing,Senior Marketing Specialist,2017-01-19,7.9,0.65,80659.99,9275.9,52,False,EMP-11363
EMP-10106,Mary Scott,Female,33,IT,IT Manager,2017-06-14,7.5,0.66,113219.03,22530.59,72,False,EMP-12174
EMP-10107,Michelle Moore,Female,46,Operations,Process Coordinator,2012-04-14,12.7,0.78,70046.29,5771.81,74,False,EMP-10079
EMP-10108,Thomas Young,Male,27,IT,Software Engineer,2015-02-25,9.8,0.81,60445.14,5125.75,102,False,EMP-10737
EMP-10109,Ashley Martinez,Female,53,Sales,Sales Executive,2015-12-05,9.1,0.39,60471.71,3096.15,80,False,EMP-14610
EMP-10110,Jason Perez,Male,34,Operations,Administrative Assistant,2012-03-18,12.8,0.56,41157.75,2667.02,92,False,EMP-10626
EMP-10111,David Jackson,Male,53,Sales,Sales Executive,2011-09-02,13.3,0.63,64875.88,4567.26,84,False,EMP-10532
EMP-10112,Nancy Garcia,Female,56,Operations,VP of Operations,2013-12-25,11.0,0.91,262424.16,99065.12,73,False,EMP-10615
EMP-10113,Barbara Rodriguez,Female,36,Sales,Junior Sales Executive,2016-07-19,8.5,0.37,48478.8,2404.55,42,False,EMP-14616
EMP-10114,Anthony Nguyen,Male,35,IT,Senior Software Engineer,2015-08-21,9.4,0.8,111596.18,14507.5,85,False,EMP-14030
EMP-10115,Kimberly Brown,Female,59,Sales,Business Development Executive,2012-04-20,12.7,0.54,74495.42,4708.11,63,False,EMP-10814
EMP-10116,Deborah Young,Female,50,IT,Data Engineer,2013-04-19,11.7,0.32,68376.14,3117.95,80,False,EMP-14678
EMP-10117,Ashley Martin,Female,44,Marketing,Senior Marketing Specialist,2012-08-31,12.3,0.57,90077.71,9638.31,51,False,EMP-13724
EMP-10118,Robert Lopez,Male,44,Sales,Regional Sales Manager,2012-05-04,12.7,0.38,110342.14,17323.72,98,False,EMP-12430
EMP-10119,Emily Davis,Female,55,HR,Recruiter,2014-10-02,10.2,0.51,57529.42,3497.79,46,False,EMP-14072
EMP-10120,Mary King,Female,41,Operations,Administrative Assistant,2013-06-15,11.5,0.66,47261.2,3440.62,71,False,EMP-14670
EMP-10121,Jennifer Johnson,Female,52,Sales,Senior Account Executive,2011-06-01,13.6,0.49,96668.83,9570.21,53,False,EMP-13495
EMP-10122,David Flores,Male,38,IT,Data Engineer,2017-02-17,7.9,0.42,72971.4,3911.27,60,False,EMP-13038
EMP-10123,Jason Allen,Male,62,HR,Senior Recruiter,2015-09-05,9.3,0.44,85076.45,7997.19,87,False,EMP-10869
EMP-10124,Daniel Taylor,Male,52,Finance,Budget Analyst,2010-08-19,14.4,0.54,83989.51,5308.14,64,False,EMP-10489
EMP-10125,Susan Flores,Female,48,Operations,Supply Chain Manager,2016-05-13,8.6,0.68,99594.24,20118.04,61,False,EMP-14933
EMP-10126,David White,Male,27,Operations,Supply Chain Manager,2011-10-18,13.2,0.42,110601.17,18027.99,82,False,EMP-11105
EMP-10127,Margaret Flores,Female,36,Operations,VP of Operations,2016-09-10,8.3,0.97,249028.33,97743.62,85,False,EMP-12695
EMP-10128,George White,Male,51,Sales,Sales Associate,2012-11-15,12.1,0.37,52522.14,2605.1,83,False,EMP-12640
EMP-10129,Kimberly Wright,Female,60,Sales,Sales Executive,2011-02-16,13.9,0.74,69572.95,5510.18,102,False,EMP-12018
EMP-10130,William Sanchez,Male,30,Operations,Senior Process Manager,2011-03-07,13.8,0.73,80740.96,9931.14,109,True,EMP-10473
EMP-10131,Sarah Allen,Female,44,HR,Senior Recruiter,2016-07-24,8.4,0.41,66258.73,6029.54,93,False,EMP-13883
EMP-10132,Robert White,Male,45,Sales,Business Development Executive,2016-01-17,9.0,0.58,58935.99,3913.35,105,False,EMP-14188
EMP-10133,Donna Scott,Female,26,Operations,Operations Analyst,2017-06-03,7.6,0.63,64931.98,4571.21,73,True,EMP-12806
EMP-10134,Ashley Allen,Female,58,Marketing,Content Writer,2015-11-30,9.1,0.31,40284.91,1804.76,80,False,EMP-13713
EMP-10135,Kenneth Martinez,Male,39,Operations,Senior Operations Analyst,2017-02-20,7.9,0.62,84734.46,9490.26,73,False,EMP-10538
EMP-10136,David Garcia,Male,37,IT,DevOps Engineer,2015-08-18,9.4,0.36,79858.71,3897.11,48,False,EMP-10460
EMP-10137,Donald Moore,Male,24,IT,QA Engineer,2013-05-17,11.6,0.29,85653.45,3700.23,88,False,EMP-14620
EMP-10138,Edward Moore,Male,37,Operations,Process Coordinator,2015-12-25,9.0,0.4,68448.36,3559.31,75,True,EMP-13738
EMP-10139,John Davis,Male,37,Operations,Senior Operations Analyst,2015-01-30,9.9,0.6,90246.41,9927.11,69,False,EMP-11128
EMP-10140,Brian Hernandez,Male,55,HR,Recruitment Coordinator,2018-11-08,6.1,0.59,48869.16,3284.01,61,False,EMP-10417
EMP-10141,Jason Gonzalez,Male,45,Finance,Senior Accountant,2011-09-17,13.3,0.44,84390.81,7932.74,65,False,EMP-10846
EMP-10142,Steven White,Male,37,IT,IT Director,2011-08-19,13.4,0.72,165368.5,34396.65,78,False,EMP-11635
EMP-10143,George Walker,Male,30,Sales,Business Development Executive,2014-06-22,10.5,0.54,56081.58,3544.36,71,False,EMP-13134
EMP-10144,Sharon Nguyen,Female,61,IT,Junior Software Engineer,2013-10-24,11.2,0.35,44848.2,2152.71,81,False,EMP-14608
EMP-10145,Betty Davis,Female,63,Sales,Sales Manager,2017-01-05,8.0,0.54,116746.6,21131.13,104,False,EMP-12190
EMP-10146,Emily White,Female,54,Operations,Operations Associate,2014-10-25,10.2,0.13,46617.04,1417.16,63,False,EMP-14709
EMP-10147,Thomas Lee,Male,37,Operations,Logistics Coordinator,2018-10-13,6.2,0.57,65840.87,4319.16,58,False,EMP-10176
EMP-10148,Sarah Thompson,Female,61,IT,QA Engineer,2016-09-21,8.3,0.45,63660.87,3565.01,99,False,EMP-11068
EMP-10149,Ronald Lopez,Male,56,IT,Software Engineer,2017-03-14,7.8,0.57,62011.65,4067.96,93,True,EMP-11792
EMP-10150,Sharon Brown,Female,60,Finance,Accounts Payable Specialist,2012-11-13,12.1,0.6,50398.42,3427.09,78,False,EMP-11002
EMP-10151,Carol Lewis,Female,42,IT,DevOps Manager,2012-01-07,13.0,0.63,131658.76,25607.63,102,False,EMP-10755
EMP-10152,Steven Scott,Male,33,Sales,Business Development Executive,2018-01-20,6.9,0.26,60400.25,2464.33,70,False,EMP-13094
EMP-10153,Ronald Garcia,Male,34,IT,Engineering Director,2013-02-17,11.9,0.91,178074.75,42114.68,104,False,EMP-10494
EMP-10154,Jeffrey Lopez,Male,49,Sales,Sales Executive,2011-04-20,13.7,0.53,87020.04,5430.05,69,False,EMP-14066
EMP-10155,Donald Allen,Male,44,Sales,Junior Sales Executive,2011-10-07,13.2,0.24,51815.85,2031.18,73,False,EMP-10888
EMP-10156,Daniel Hernandez,Male,45,Finance,Financial Analyst,2013-10-03,11.2,0.43,66816.41,3634.81,69,False,EMP-13561
EMP-10157,Kevin Hernandez,Male,47,Sales,Senior Sales Executive,2016-05-14,8.6,0.58,97890.6,10572.18,59,True,EMP-10587
EMP-10158,Nancy Robinson,Female,52,IT,Junior Software Engineer,2015-06-07,9.6,0.43,56119.4,3052.9,46,True,EMP-13742
EMP-10159,Timothy Taylor,Male,54,Marketing,Marketing Specialist,2014-03-22,10.8,0.56,62634.44,4058.71,59,True,EMP-14527
EMP-10160,Charles Moore,Male,52,Operations,Operations Analyst,2013-11-10,11.1,0.6,71329.99,4850.44,74,False,EMP-11155
EMP-10161,Ashley Wright,Female,54,IT,Software Engineer,2016-09-06,8.3,0.54,67082.38,4239.61,51,False,EMP-10728
EMP-10162,Rebecca Davis,Female,63,Operations,Operations Analyst,2011-04-11,13.7,0.17,61708.6,2073.41,35,True,EMP-12806
EMP-10163,David Williams,Male,49,Operations,Administrative Assistant,2015-03-11,9.8,0.23,45420.56,1744.15,87,False,EMP-12537
EMP-10164,Patricia Miller,Female,50,Sales,Sales Associate,2013-04-04,11.7,0.59,52578.06,3533.25,96,False,EMP-10608
EMP-10165,Kenneth Nguyen,Male,47,Sales,Account Manager,2010-10-12,14.2,0.6,125006.43,23751.22,93,False,EMP-14409
EMP-10166,Andrew Young,Male,41,Sales,Senior Sales Executive,2014-10-07,10.2,0.54,91809.7,9548.21,47,False,EMP-12873
EMP-10167,Patricia Allen,Female,38,Sales,Sales Associate,2014-05-31,10.6,0.66,53560.63,3899.21,63,False,EMP-11267
EMP-10168,Ashley Miller,Female,34,Operations,Administrative Assistant,2013-03-17,11.8,0.32,50087.92,2284.01,69,False,EMP-11359
EMP-10169,Karen Robinson,Female,48,HR,Chief Human Resources Officer,2014-12-02,10.1,0.81,372740.16,131390.91,116,False,
EMP-10170,Timothy Lee,Male,45,Sales,Junior Sales Executive,2013-09-27,11.3,0.52,51861.92,3194.69,46,False,EMP-14005
EMP-10171,Michael Taylor,Male,47,Operations,Logistics Coordinator,2014-10-04,10.2,0.91,68075.98,6317.45,92,False,EMP-10005
EMP-10172,Susan Gonzalez,Female,28,Operations,Operations Analyst,2017-06-26,7.5,0.67,60722.02,4469.14,67,False,EMP-12733
EMP-10173,Sarah Wright,Female,45,Operations,Senior Operations Analyst,2016-03-05,8.8,0.58,72771.16,7859.29,91,False,EMP-12269
EMP-10174,Steven King,Male,57,Sales,Junior Sales Executive,2012-10-26,12.2,0.69,53979.45,4059.25,98,True,EMP-14551
EMP-10175,Jacob Thompson,Male,62,Operations,Logistics Coordinator,2013-12-26,11.0,0.4,58561.64,3045.21,94,False,EMP-11081
EMP-10176,Anthony Martin,Male,42,Operations,Senior Process Manager,2014-03-13,10.8,0.5,94026.48,9402.65,52,False,EMP-11664
EMP-10177,Matthew Martin,Male,33,Operations,Operations Analyst,2011-09-22,13.3,0.56,71492.67,4632.73,87,False,EMP-12910
EMP-10178,Elizabeth Wilson,Female,29,Marketing,Senior Marketing Specialist,2010-11-26,14.1,0.44,89858.23,8446.67,97,False,EMP-14691
EMP-10179,George White,Male,30,Sales,Senior Account Executive,2015-03-15,9.8,0.29,105572.18,8340.2,42,False,EMP-12734
EMP-10180,Robert Hernandez,Male,46,Sales,Sales Director,2012-07-24,12.4,0.65,162789.34,32150.89,110,False,EMP-10391
EMP-10181,Sarah Wilson,Female,49,Finance,Junior Analyst,2013-04-18,11.7,0.35,50654.22,2431.4,56,False,EMP-13247
EMP-10182,Matthew Lopez,Male,25,Operations,Process Coordinator,2012-10-20,12.2,0.71,65669.54,5043.42,70,False,EMP-10660
EMP-10183,Barbara Walker,Female,36,Sales,Sales Associate,2013-11-08,11.1,0.4,46505.44,2418.28,74,False,EMP-14369
EMP-10184,Michael Rodriguez,Male,54,Finance,Controller,2013-09-09,11.3,0.74,209222.8,44146.01,114,False,EMP-10224
EMP-10185,Nancy Davis,Female,48,HR,HR Manager,2012-01-15,13.0,0.81,121424.6,26895.55,60,False,EMP-10323
EMP-10186,Andrew Davis,Male,38,HR,Senior HR Business Partner,2012-02-06,12.9,0.55,86670.95,9100.45,60,False,EMP-14221
EMP-10187,Ryan Jackson,Other,42,Sales,Account Executive,2014-03-14,10.8,0.48,61560.12,3595.11,90,False,EMP-11413
EMP-10188,Ashley King,Female,46,Operations,Chief Operating Officer,2011-01-15,14.0,0.84,278144.3,100131.95,68,False,
EMP-10189,Cynthia Williams,Female,35,Sales,Sales Manager,2014-11-20,10.1,0.71,113789.48,23497.53,79,False,EMP-13755
EMP-10190,Sharon Anderson,Female,49,IT,Data Engineer,2012-03-01,12.8,0.65,85482.22,6154.72,52,False,EMP-14412
EMP-10191,Donald Thompson,Male,48,Sales,Sales Executive,2016-09-12,8.3,0.48,78635.98,4592.34,83,False,EMP-11804
EMP-10192,Emily Brown,Female,30,IT,Software Engineer,2017-08-13,7.4,0.59,76228.93,5122.58,50,False,EMP-11655
EMP-10193,Linda Lee,Female,39,Sales,Sales Director,2018-05-13,6.6,0.52,161275.97,28707.12,90,False,EMP-14754
EMP-10194,Amanda Sanchez,Female,47,Sales,Account Executive,2014-10-11,10.2,0.2,62438.42,2247.78,60,False,EMP-10712
EMP-10195,Joshua Jones,Male,38,Sales,Account Executive,2014-09-04,10.3,0.25,59002.86,2360.11,32,False,EMP-14238
EMP-10196,Anthony Young,Male,43,Sales,Business Development Executive,2014-11-30,10.1,0.84,59365.29,5176.65,72,False,EMP-14413
EMP-10197,Carol Harris,Female,38,Finance,Accounts Payable Specialist,2014-03-15,10.8,0.45,55121.71,3086.82,50,False,EMP-10923
EMP-10198,David Sanchez,Male,52,Sales,Sales Executive,2010-10-06,14.2,0.3,60806.15,2675.47,70,True,EMP-14326
EMP-10199,Brian Brown,Male,34,Sales,Regional Sales Manager,2011-07-22,13.4,0.65,130086.25,25692.03,90,False,EMP-10202
EMP-10200,Mary Thompson,Female,46,HR,Recruitment Coordinator,2017-01-24,7.9,0.45,40195.28,2250.94,78,False,EMP-13317
EMP-10201,Jeffrey Martin,Male,52,Sales,Business Development Executive,2014-04-19,10.7,0.61,84523.17,5815.19,63,False,EMP-12785
EMP-10202,Brian Hernandez,Male,46,Sales,VP of Sales,2016-12-12,8.1,0.48,189236.48,51093.85,58,False,EMP-11847
EMP-10203,Rebecca Sanchez,Other,34,Operations,Supply Chain Manager,2013-01-14,12.0,0.72,123523.78,25692.95,71,True,EMP-11423
EMP-10204,Michael Smith,Male,49,Operations,Operations Analyst,2012-04-28,12.7,0.42,72713.37,3897.44,69,False,EMP-14172
